Book Name,Author,Description,Listening Time,Ranks and Genre,Final_Rating,Final_Price,Final_Reviews,Clean_Genres,Cluster,Hybrid_Score
creative visualization meditations,shakti gawain,"
By completing your purchase you agree to Audible’s  Conditions of Use, Amazon's Privacy Notice and if applicable Audible's Recurring Payment Terms.
",1 hour,",#3,366 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#86 in Meditation (Audible Audiobooks & Originals),#251 in Psychology (Audible Audiobooks & Originals),#470 in Personal Success",4.7,300.0,508.0,[],0,5.312979206620209
"the feynman lectures on physics: volume 16, feynman on electromagnetism",richard p. feynman,,unknown,unknown,-1.0,938.0,0.0,['Unknown'],1,-0.6
"return of a king: the battle for afghanistan, 1839-42",william dalrymple,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",-1,-1,4.6,1003.0,544.0,[],3,5.280314317865297
"why we buy, updated and revised edition: the science of shopping",paco underhill,"

Oops!
It's rush hour and traffic is piling up on that page. Please try again in a short while.If you were trying to place an order, it will not have been processed at this time.

Go to the Amazon.in home page to continue shopping

",-1,-1,4.3,773.0,260.0,[],2,4.805808162929077
healing through past-life regression...and beyond,mira kelley,"In this remarkable audio program, Mira Kelley will guide you through a past-life regression that allows you to experience other lives you have lived, receive emotional and physical healing, discover your life’s purpose, understand your relationships, and receive guidance from your Higher Self. Along the way, Mira demonstrates the extraordinary skills she has shared with the likes of Dr. Wayne W. Dyer and Brian Weiss, M.D. (both of whom have featured her work in their own recent books). Mira also includes meditations, which will aid you in discovering how to restore the health and vitality of your body, awakening your beautiful essence, embracing the unconditional love that Source has for you, and recognizing that you truly deserve to express yourself to the fullest. The result is a powerful experience that will help you manifest your best life yet!",1 hour and 41 minutes,",#320 in Earth Sciences Books,#1,927 in Family & Relationships,#8,198 in Personal Development & Self-Help",4.3,468.0,45.0,"['927 In Family & Relationships', '198 In Personal Development & Self-Help']",1,4.111456558595638
exploring vibrational medicine,richard gerber,,unknown,unknown,5.0,702.0,8.0,['Unknown'],1,3.878889830934488
sorry not sorry,sophie ranald,"

Oops!
It's rush hour and traffic is piling up on that page. Please try again in a short while.If you were trying to place an order, it will not have been processed at this time.

Go to the Amazon.in home page to continue shopping

",-1,-1,4.3,645.0,1847.0,[],2,5.588743700880652
the holy spirit: activating god's power in your life,billy graham,"Leading evangelist Billy Graham has written an inspiring and thought-provoking work based on his personal quest to understand the most mysterious and difficult aspect of the Trinity. After a discussion with a noted Swiss theologian, Dr. Graham began a study of the Bible to see what is said about the Holy Spirit. As he progressed through his examination, he became concerned by the “misunderstanding and even ignorance in some Christian circles concerning the Third Person of the Trinity.” ",10 hours and 42 minutes,",#623 in Theology & Philosophy of Religion,#1,058 in Christianity (Books),#36,652 in Textbooks & Study Guides",4.8,844.0,468.0,"['058 In Christianity (Books)', '652 In Textbooks & Study Guides']",1,5.340241107378512
the incredible banker,ravi subramanian,"A new expat CEO, a bank riddled with losses in its retail banking business, mind-numbing politicking amongst the honchos, aggressive loan sales guys battling the listless credit folks - Greater Boston Global Bank(GB2) seems to be like any other foreign bank. Till it all changes one day when Ronald McCain, CEO of GB2, is hurriedly pulled out of his morning team huddle and summoned by the RBI Governor. What ensues thereon is something Ronald is least prepared for. How could something as catastrophic transpire in an organization considered to be the Mecca of banking? Ronald has no answers. And when the CBI lands up at Deepak Sarup's doors trailing the scent of the same scandal, Ronald decides to distance the bank, leaving Deepak, a senior executive, to fight his own battles. Will Karan, Deepak's onetime adversary and now a journo, bail him out? Will Savitha, his girlfriend, stand by him? And will his family; the CBI and, more importantly, the country believe what he says? With the media and CBI in hot pursuit, Ronald can't help but wonder what his fate has in store for him. ",-1,-1,4.1,668.0,85.0,[],1,4.241738918501403
the incredible banker,ravi subramanian,"A new expat CEO, a bank riddled with losses in its retail banking business, mind-numbing politicking amongst the honchos, aggressive loan sales guys battling the listless credit folks - Greater Boston Global Bank(GB2) seems to be like any other foreign bank. Till it all changes one day when Ronald McCain, CEO of GB2, is hurriedly pulled out of his morning team huddle and summoned by the RBI Governor. What ensues thereon is something Ronald is least prepared for. How could something as catastrophic transpire in an organization considered to be the Mecca of banking? Ronald has no answers. And when the CBI lands up at Deepak Sarup's doors trailing the scent of the same scandal, Ronald decides to distance the bank, leaving Deepak, a senior executive, to fight his own battles. Will Karan, Deepak's onetime adversary and now a journo, bail him out? Will Savitha, his girlfriend, stand by him? And will his family; the CBI and, more importantly, the country believe what he says? With the media and CBI in hot pursuit, Ronald can't help but wonder what his fate has in store for him. ",8 hours and 33 minutes,",#3,303 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#8 in Banks & Banking (Audible Audiobooks & Originals),#24 in Exercise & Fitness (Audible Audiobooks & Originals),#114 in Suspense",4.1,668.0,85.0,[],1,4.241738918501403
cybersecurity program development for business: the essential planning guide,chris moschovitis,"This essential guide, with its dozens of examples and case studies, breaks down every element of the development and management of a cybersecurity program for the executive. From understanding the need, to core risk management principles, to threats, tools, roles, and responsibilities, this book walks the listener through each step of developing and implementing a cybersecurity program. From beginning to end, it's a thorough overview, but it can also function as a useful reference audiobook as individual questions and difficulties arise.",9 hours and 9 minutes,",#3,563 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#161 in Leadership,#945 in Industries,#5,872 in Analysis & Strategy",4.7,586.0,15.0,['872 In Analysis & Strategy'],1,3.929035488895912
babu bangladesh!,numair atif choudhury,Shortlisted for the Shakti Bhatt First Book Prize 2019. ,14 hours and 22 minutes,",#5,476 in Crime, Thriller & Mystery (Books),#6,238 in Contemporary Fiction (Books)",4.3,836.0,10.0,"['476 In Crime', 'Thriller & Mystery (Books)', '238 In Contemporary Fiction (Books)']",1,3.539158109119348
wayne dyer's ultimate library,wayne dyer,,unknown,unknown,-1.0,2008.0,0.0,['Unknown'],1,-0.6
the picture of dorian gray,oscar wilde,Exclusively from Audible ,8 hours and 35 minutes,",#3,166 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#2 in LGBT Thrillers & Suspense,#45 in Psychological Thrillers,#164 in Classic Literature",4.4,569.0,3564.0,[],1,5.911567733139359
the porn myth: exposing the reality behind the fantasy of pornography,matt fradd,"The Porn Myth is a non-religious response to the commonly held belief that pornography is a harmless or even beneficial pastime. Author Matt Fradd draws on the experience of porn performers and users, and the expertise of neurologists, sociologists, and psychologists to demonstrate that pornography is destructive to individuals, relationships, and society. He provides insightful arguments, supported by the latest scientific research, to discredit the fanciful claims used to defend and promote pornography. ",5 hours and 45 minutes,",#3,019 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Sexual Addiction,#2 in Pornography Studies,#2 in Sexual Abuse & Harassment",4.8,703.0,102.0,[],1,4.733891595291855
"mini habits: smaller habits, bigger results",stephen guise,"One afternoon - after another failed attempt to get motivated to exercise - I (accidentally) started my first mini habit. I initially committed to do one push-up, and it turned into a full workout. I was shocked. This ""stupid idea"" wasn't supposed to work. I was shocked again when my success with this strategy continued for months (and to this day). I had to consider that maybe I wasn't the problem in those 10 years of mediocre results. Maybe it was my prior strategies that were ineffective, despite being oft-repeated as ""the way to change"" in countless books and blogs. ",-1,-1,4.6,501.0,1221.0,[],1,5.603297655892616
cybersecurity program development for business: the essential planning guide,chris moschovitis,"This essential guide, with its dozens of examples and case studies, breaks down every element of the development and management of a cybersecurity program for the executive. From understanding the need, to core risk management principles, to threats, tools, roles, and responsibilities, this book walks the listener through each step of developing and implementing a cybersecurity program. From beginning to end, it's a thorough overview, but it can also function as a useful reference audiobook as individual questions and difficulties arise.",9 hours and 9 minutes,",#3,563 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#161 in Leadership,#945 in Industries,#5,872 in Analysis & Strategy",4.7,586.0,15.0,['872 In Analysis & Strategy'],1,3.929035488895912
babu bangladesh!,numair atif choudhury,Shortlisted for the Shakti Bhatt First Book Prize 2019. ,14 hours and 22 minutes,",#5,476 in Crime, Thriller & Mystery (Books),#6,238 in Contemporary Fiction (Books)",4.3,836.0,10.0,"['476 In Crime', 'Thriller & Mystery (Books)', '238 In Contemporary Fiction (Books)']",1,3.539158109119348
wayne dyer's ultimate library,wayne dyer,,unknown,unknown,-1.0,2008.0,0.0,['Unknown'],1,-0.6
the picture of dorian gray,oscar wilde,Exclusively from Audible ,8 hours and 35 minutes,",#3,166 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#2 in LGBT Thrillers & Suspense,#45 in Psychological Thrillers,#164 in Classic Literature",4.4,569.0,3564.0,[],1,5.911567733139359
the porn myth: exposing the reality behind the fantasy of pornography,matt fradd,"The Porn Myth is a non-religious response to the commonly held belief that pornography is a harmless or even beneficial pastime. Author Matt Fradd draws on the experience of porn performers and users, and the expertise of neurologists, sociologists, and psychologists to demonstrate that pornography is destructive to individuals, relationships, and society. He provides insightful arguments, supported by the latest scientific research, to discredit the fanciful claims used to defend and promote pornography. ",5 hours and 45 minutes,",#3,019 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Sexual Addiction,#2 in Pornography Studies,#2 in Sexual Abuse & Harassment",4.8,703.0,102.0,[],1,4.733891595291855
"mini habits: smaller habits, bigger results",stephen guise,"One afternoon - after another failed attempt to get motivated to exercise - I (accidentally) started my first mini habit. I initially committed to do one push-up, and it turned into a full workout. I was shocked. This ""stupid idea"" wasn't supposed to work. I was shocked again when my success with this strategy continued for months (and to this day). I had to consider that maybe I wasn't the problem in those 10 years of mediocre results. Maybe it was my prior strategies that were ineffective, despite being oft-repeated as ""the way to change"" in countless books and blogs. ",-1,-1,4.6,501.0,1221.0,[],1,5.603297655892616
the ultimate x-men,stan lee,"This gripping new anthology has over a dozen original tales starring the top-selling mutant heroes, the uncanny X-Men, dealing with their greatest foes, as well as the day-to-day trials of being mutants - trying to protect the world they've sworn to protect, a world that hates them for what they are! ",7 hours and 26 minutes,",#3,356 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#2 in Superhero Fiction for Teens,#5 in Superhero Fantasy,#21 in Literature Anthologies",5.0,703.0,3.0,[],1,3.5545177444479563
in shock,dr rana awdish,"Random House presents the audiobook edition of In Shock by Dr Rana Awdish, read by the author and Teri Schnaubelt.",9 hours and 1 minute,",#3,483 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#2 in Medical Ethics (Audible Audiobooks & Originals),#2 in Nursing (Audible Audiobooks & Originals),#3 in Physician & Patient (Audible Audiobooks & Originals)",4.7,683.0,400.0,[],7,5.217584570922628
"when i stop talking, you'll know i'm dead: useful stories from a persuasive man",jerry weintraub,,unknown,unknown,4.6,500.0,361.0,['Unknown'],1,5.116657684730308
rich dad advisors: stock market cash flow,andy tanner,"The audiobook addresses many of the challenges facing stock market investors and the ways many investors use the stock market to achieve their financial and investing goals. The audiobook teaches the principles of the author's ""four pillars of stock market income"" and effectively simplifies these concepts to help investors harness their power and potential.",7 hours and 31 minutes,",#300 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Retirement Planning,#9 in Stocks,#527 in Analysis & Strategy",4.5,500.0,213.0,[],1,4.846390406008741
rich dad advisors: stock market cash flow,andy tanner,"The audiobook addresses many of the challenges facing stock market investors and the ways many investors use the stock market to achieve their financial and investing goals. The audiobook teaches the principles of the author's ""four pillars of stock market income"" and effectively simplifies these concepts to help investors harness their power and potential.",-1,-1,4.5,500.0,213.0,[],1,4.846390406008741
warbreaker,brandon sanderson,"After bursting onto the fantasy scene with his acclaimed debut novel, Elantris, and following up with his blockbuster Mistborn trilogy, Brandon Sanderson proves again that he is today's leading master of what Tolkien called 'secondary creation', the invention of whole worlds, complete with magics and myths all their own. ",24 hours and 56 minutes,",#852 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#5 in Action & Adventure Fantasy,#17 in Epic Fantasy,#571 in Fantasy (Books)",4.6,987.0,1423.0,[],1,5.664490036788768
infinity blade: awakening,brandon sanderson,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",-1,-1,4.3,586.0,356.0,[],3,4.931094312711855
all the bright places: movie tie-in edition,jennifer niven,This New York Times best-selling love story about two teens who find each other while standing on the edge is soon to be a Netflix film starring Elle Fanning and Justice Smith!,11 hours and 4 minutes,",#3,237 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Fiction on Depression for Teens,#2 in Fiction on Suicide for Teens,#2 in Fiction on Mental Illness for Teens",4.7,1256.0,2799.0,[],1,5.994949878465318
adultery (hindi edition),paulo coelho,I want to change. I need to change. I'm gradually losing touch with myself. ,7 hours and 38 minutes,",#3,208 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#38 in Contemporary Fiction (Audible Audiobooks & Originals),#5,430 in Crime, Thriller & Mystery (Books),#6,189 in Contemporary Fiction (Books)",3.3,668.0,9.0,"['430 In Crime', 'Thriller & Mystery (Books)', '189 In Contemporary Fiction (Books)']",1,2.9010340371976184
the fry chronicles: an autobiography,stephen fry,"Thirteen years ago, Moab Is My Washpot, Stephen Fry’s autobiography of his early years, was published to rave reviews and was a huge best seller. In the years since, Stephen Fry has moved into a completely new stratosphere, both as a public figure, and a private man. Now he is not just a multi-award-winning comedian and actor, but also an author, director, and presenter.",12 hours and 29 minutes,",#3,341 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#3 in LGBT Biographies,#28 in Biographies of Celebrities & Entertainment Professionals,#450 in Cinema & Broadcast (Books)",4.4,1093.0,405.0,[],1,5.042541263840693
it happens for a reason,preeti shenoy,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",-1,-1,4.3,668.0,553.0,[],3,5.106865874698913
the dead sea scrolls,gary a. rendsburg,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",-1,-1,-1.0,1171.0,0.0,[],3,-0.6
the feast of roses,indu sundaresan,"

Oops!
It's rush hour and traffic is piling up on that page. Please try again in a short while.If you were trying to place an order, it will not have been processed at this time.

Go to the Amazon.in home page to continue shopping

",-1,-1,4.5,937.0,147.0,[],2,4.6988849095056455
deep undercover: my secret life and tangled allegiances as a kgb spy in america,jack barsky,One decision can end everything...or lead to unlikely redemption. ,10 hours and 52 minutes,",#318 in United States History (Books),#428 in Political Freedom & Security (Books),#1,028 in Christianity (Books)",4.6,820.0,315.0,['028 In Christianity (Books)'],1,5.062296885434765
team topologies: organizing business and technology teams for fast flow,matthew skelton,"Effective software teams are essential for any organization to deliver value continuously and sustainably. But how do you build the best team organization for your specific goals, culture, and needs?",6 hours and 31 minutes,",#3,091 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#26 in Workplace Culture,#137 in Leadership,#151 in Business Management",4.6,668.0,156.0,[],1,4.782498322139324
you can't teach a kid to ride a bike at a seminar: sandler training's 7-step system for successful selling (2nd edition),david mattson - foreword,,unknown,unknown,4.7,656.0,119.0,['Unknown'],1,4.734996697112818
the runaway species: how human creativity remakes the world,david eagleman,,unknown,unknown,4.3,797.0,111.0,['Unknown'],1,4.4673995485180376
the origin and evolution of earth: from the big bang to the future of human existence,robert m. hazen,,unknown,unknown,-1.0,1774.0,0.0,['Unknown'],1,-0.6
"the end of mental illness: how neuroscience is transforming psychiatry and helping prevent or reverse mood and anxiety disorders, adhd, addictions, ptsd, psychosis, personality disorders, and more",daniel g. amen,"New hope for those suffering from conditions like depression, anxiety, bipolar disorder, addictions, PTSD, ADHD, and more. ",13 hours and 37 minutes,",#3,256 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#13 in Emotions,#52 in Biological Sciences,#54 in Mental Health (Audible Audiobooks & Originals)",4.7,1055.0,505.0,[],1,5.310614667714987
the marshmallow test: mastering self-control,walter mischel,"Renowned psychologist Walter Mischel, designer of the famous Marshmallow Test, explains what self-control is and how to master it. ",7 hours and 54 minutes,",#3,143 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#11 in Child Psychology,#138 in Science,#244 in Earth Sciences Books",4.4,603.0,356.0,[],1,4.991094312711856
the end of everything: (astrophysically speaking),katie mack,Brought to you by Penguin.,6 hours and 21 minutes,",#2,016 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#9 in Cosmology,#12 in Astronomy (Audible Audiobooks & Originals),#22 in Physics (Audible Audiobooks & Originals)",4.7,888.0,118.0,[],1,4.731649397244611
devlok 2,devdutt pattanaik,,unknown,unknown,4.3,879.0,96.0,['Unknown'],1,4.409884391401353
zen and the art of happiness,chris prentiss,"Zen and the Art of Happiness is a popular book by Chris Prentiss that has been translated and published in more than 20 countries around the world. According to Chris Prentiss, by training oneself to think and feel in a certain manner, changes can happen in the body, which can go a long way in improving the overall well-being of the person. In this audiobook, he gives valuable insights on how to create a vibrant life for oneself. You will learn: ",2 hours and 17 minutes,",#1,720 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#23 in Mental Health (Audible Audiobooks & Originals),#92 in Spirituality (Audible Audiobooks & Originals),#134 in Psychology (Audible Audiobooks & Originals)",4.5,233.0,649.0,[],1,5.290788945155873
the acid house,irvine welsh,"

Oops!
It's rush hour and traffic is piling up on that page. Please try again in a short while.If you were trying to place an order, it will not have been processed at this time.

Go to the Amazon.in home page to continue shopping

",-1,-1,4.3,615.0,60.0,[],2,4.224349545669324
the jungle book: the mowgli stories,rudyard kipling,,unknown,unknown,4.7,349.0,29.0,['Unknown'],1,4.180478952664862
what life should mean to you,alfred adler,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",-1,-1,4.4,516.0,29.0,[],3,4.000478952664862
what life should mean to you,alfred adler,"Adler, along with Freud and Jung, created an entirely new branch of psychology, namely psychoanalysis. What Life Should Mean to You brings his conclusions to a popular audience. It covers adolescence, feelings of superiority and inferiority, the importance of cooperation, work, friendship, love, and marriage.",5 hours and 25 minutes,",#3,760 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#7 in Freudian Theory,#510 in Personal Success,#3,578 in Classic Fiction (Books)",4.4,516.0,29.0,['578 In Classic Fiction (Books)'],1,4.000478952664862
into thin air,jon krakauer,,unknown,unknown,4.7,569.0,2955.0,['Unknown'],1,6.016636912827237
the jungle book: the mowgli stories,rudyard kipling,,unknown,unknown,4.7,349.0,29.0,['Unknown'],1,4.180478952664862
what life should mean to you,alfred adler,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",-1,-1,4.4,516.0,29.0,[],3,4.000478952664862
what life should mean to you,alfred adler,"Adler, along with Freud and Jung, created an entirely new branch of psychology, namely psychoanalysis. What Life Should Mean to You brings his conclusions to a popular audience. It covers adolescence, feelings of superiority and inferiority, the importance of cooperation, work, friendship, love, and marriage.",5 hours and 25 minutes,",#3,760 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#7 in Freudian Theory,#510 in Personal Success,#3,578 in Classic Fiction (Books)",4.4,516.0,29.0,['578 In Classic Fiction (Books)'],1,4.000478952664862
into thin air,jon krakauer,,unknown,unknown,4.7,569.0,2955.0,['Unknown'],1,6.016636912827237
"the ama handbook of project management, fifth edition",paul c. dinsmore pmp - editor,"An essential resource presenting state-of-the-art theory and process of project management, The AMA Handbook of Project Management has long been considered the authoritative guide.",25 hours and 46 minutes,",#3,209 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#7 in Project Management,#75 in Entrepreneurship (Audible Audiobooks & Originals),#5,233 in Analysis & Strategy",4.2,820.0,7.0,['233 In Analysis & Strategy'],1,3.3517766166719345
"the ama handbook of project management, fifth edition",paul c. dinsmore pmp - editor,"An essential resource presenting state-of-the-art theory and process of project management, The AMA Handbook of Project Management has long been considered the authoritative guide.",25 hours and 46 minutes,",#3,209 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#7 in Project Management,#75 in Entrepreneurship (Audible Audiobooks & Originals),#5,233 in Analysis & Strategy",4.2,820.0,7.0,['233 In Analysis & Strategy'],1,3.3517766166719345
gilgamesh: a novel,joan london,"
By completing your purchase you agree to Audible’s  Conditions of Use, Amazon's Privacy Notice and if applicable Audible's Recurring Payment Terms.
",9 hours and 1 minute,",#4,307 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#161 in Historical Fiction (Audible Audiobooks & Originals),#247 in Literary Fiction,#3,421 in Historical Fiction (Books)",4.2,1171.0,51.0,['421 In Historical Fiction (Books)'],0,4.1004974874325715
admired: 21 ways to double your value,mark c. thompson,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",-1,-1,4.2,352.0,26.0,[],3,3.8383347464017317
alpha male strategies,ams alpha male strategies,,unknown,unknown,4.8,501.0,224.0,['Unknown'],1,5.046440160881768
nothing lasts forever,sidney sheldon,"

Oops!
It's rush hour and traffic is piling up on that page. Please try again in a short while.If you were trying to place an order, it will not have been processed at this time.

Go to the Amazon.in home page to continue shopping

",-1,-1,4.4,1171.0,393.0,[],2,5.030540363719174
maximize your potential through the power of your subconscious mind to overcome fear and worry,dr. joseph murphy,"

Oops!
It's rush hour and traffic is piling up on that page. Please try again in a short while.If you were trying to place an order, it will not have been processed at this time.

Go to the Amazon.in home page to continue shopping

",-1,-1,4.5,938.0,54.0,[],2,4.302933274092988
has china won?: the chinese challenge to american primacy,kishore mahbubani,,unknown,unknown,4.6,500.0,110.0,['Unknown'],1,4.643812080524933
narrative economics: how stories go viral and drive major economic events,robert j. shiller,"

Oops!
It's rush hour and traffic is piling up on that page. Please try again in a short while.If you were trying to place an order, it will not have been processed at this time.

Go to the Amazon.in home page to continue shopping

",-1,-1,4.4,585.0,162.0,[],2,4.677500080322705
fangirl,rainbow rowell,"Cath and Wren are identical twins, and until recently they did absolutely everything together. Now they're off to university, and Wren's decided she doesn't want to be one half of a pair any more - she wants to dance, meet boys, go to parties and let loose. It's not so easy for Cath. She's horribly shy and has always buried herself in the fan fiction she writes, where she always knows exactly what to say and can write a romance far more intense than anything she's experienced in real life. ",12 hours and 49 minutes,",#1,808 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Fiction on Loners & Outcasts for Teens,#2 in Audiobooks on Siblings for Teens,#3 in Fiction on Family for Teens",4.4,323.0,2635.0,[],1,5.79080715824896
cinderella,jacob grimm,"
By completing your purchase you agree to Audible’s  Conditions of Use, Amazon's Privacy Notice and if applicable Audible's Recurring Payment Terms.
",17 minutes,",#3,488 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#6 in Fairy Tale Collections & Anthologies for Children,#43 in Fiction Classics for Children,#976 in Children's Traditional Stories (Books)",-1.0,65.0,0.0,[],0,-0.6
leadership on the line (revised): staying alive through the dangers of change,ronald a. heifetz,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",-1,-1,4.6,820.0,88.0,[],3,4.555454547892856
leadership on the line (revised): staying alive through the dangers of change,ronald a. heifetz,"To lead is to live dangerously. It's romantic and exciting to think of leadership as all inspiration, decisive action, and rich rewards, but leading requires taking risks that can jeopardize your career and your personal life. It requires putting yourself on the line, disrupting the status quo, and surfacing hidden conflict. And when people resist and push back, there's a strong temptation to play it safe. Those who choose to lead plunge in, take the risks, and sometimes get burned. But it doesn't have to be that way, according to renowned leadership experts Ronald Heifetz and Marty Linsky. In Leadership on the Line, they show how it's possible to make a difference without getting ""taken out"" or pushed aside. They present everyday tools that give equal weight to the dangerous work of leading change and the critical importance of personal survival. Through vivid stories from all walks of life, the authors present straightforward strategies for navigating the perilous straits of leadership. Whether you're a parent or a politician, a CEO or a community activist, this practical book shows how you can exercise leadership and survive and thrive to enjoy the fruits of your labor. ",9 hours and 44 minutes,",#3,536 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#155 in Leadership,#5,822 in Analysis & Strategy",4.6,820.0,88.0,['822 In Analysis & Strategy'],1,4.555454547892856
"word smart, genius edition: building a phenomenal vocabulary",julian fleisher,"Do you have a proclivity for using sesquipedalian words? Has your prose become ossified because you haven't augmented your vocabulary lately? Here's the perfect, pedagogical solution. Word Smart, Genius Edition teaches more than 150 of the most captivating and challenging words in the English language.  ",4 hours and 43 minutes,",#5,753 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#2 in Adult & Continuing Education,#4 in Vocabulary,#10 in Linguistics (Audible Audiobooks & Originals)",4.0,753.0,7.0,[],1,3.2317766166719344
el ejecutivo al minuto [the one minute manager],kenneth blanchard,"¿Existe una forma rápida de aumentar la productividad, los beneficios, la satisfacción en el trabajo y el bienestar personal? Sí, y es la que enseña esta obra: un nuevo y revolucionario método de dirección que ya está dando los mejores resultados a altos ejecutivos de grandes empresas de Estados Unidos. Para éstas, las propuestas de Blanchard y Johnson son la solución empresarial a los desafíos de la nueva economía. Esta obra, de lectura fácil y amena, enseña técnicas prácticas de gestión empresarial y muestra cómo métodos aparentemente sencillos resultan de la mayor eficacia. ",1 hour and 43 minutes,",Castilian Spanish",-1.0,0.0,0.0,['Castilian Spanish'],1,-0.6
"the frequency: fulfill all your wishes by manifesting with vibrations: use the law of attraction and amazing manifestation strategies to attract the life you want, book 1",linda west,Learn powerful and easy techniques for manifestation mastery. ,2 hours and 23 minutes,",#1,271 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#2 in Angels & Spirit Guides,#3 in Metaphysics (Audible Audiobooks & Originals),#230 in Christianity (Books)",4.3,233.0,167.0,[],1,4.629585591761304
casanova,benedict cumberbatch,"
By completing your purchase you agree to Audible’s  Conditions of Use, Amazon's Privacy Notice and if applicable Audible's Recurring Payment Terms.
",5 hours and 1 minute,",#3,236 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#22 in Historical Biographies,#3,112 in Classic Fiction (Books),#4,079 in Biographies & Autobiographies (Books)",4.1,569.0,14.0,"['112 In Classic Fiction (Books)', '079 In Biographies & Autobiographies (Books)']",0,3.5432200804408835
"cracking the tech career: insider advice on landing a job at google, microsoft, apple, or any top tech company",gayle laakman mcdowell,Become the applicant Google can't turn down. ,9 hours and 6 minutes,",#2,036 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#64 in Business Careers,#4,282 in Personal Development & Self-Help",4.0,668.0,69.0,['282 In Personal Development & Self-Help'],1,4.099398096819744
the born to win seminar,zig ziglar,Discover your untapped greatness and how to win at life...in two days flat! ,15 hours and 3 minutes,",#3,232 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#448 in Personal Success,#6,808 in Personal Development & Self-Help",4.6,2008.0,417.0,['808 In Personal Development & Self-Help'],1,5.174192573009902
decisive: how to make better choices in life and work,chip heath,Brought to you by Penguin.,9 hours and 9 minutes,",#3,472 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#10 in Negotiating,#47 in Business Decision Making & Problem Solving,#483 in Personal Success",4.6,888.0,596.0,[],1,5.316766845357041
a dog's purpose: a novel for humans,w. bruce cameron,"This is the remarkable story of one endearing dog's search for his purpose over the course of several lives. More than just another charming dog story, A Dog's Purpose touches on the universal quest for an answer to life's most basic question: why are we here? ",8 hours and 17 minutes,",#3,259 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#3 in Animal Fiction,#17 in Movie, TV & Video Game Tie-In Fiction,#29 in Humorous Fiction",4.7,323.0,4559.0,['Tv & Video Game Tie-In Fiction'],1,6.190031161003374
let my people go surfing: the education of a reluctant businessman - including 10 more years of business unusual,yvon chouinard,,unknown,unknown,4.7,879.0,777.0,['Unknown'],1,5.482690609671357
gould's book of fish,richard flanagan,,unknown,unknown,3.7,1171.0,106.0,['Unknown'],1,4.089131533784762
